item_a,item_b,cooc_count,support,conf_a_to_b,conf_b_to_a
6.25188E+12,7.64015E+12,391,0.0005133342173359924,0.016079286096146728,0.026589595375722544
1062,8.90409E+12,387,0.0005080827163913786,0.031765574981531645,0.07987616099071207
1060,5.90765E+12,385,0.0005054569659190718,0.28246515040352166,0.10918888258650028
6.25116E+12,9.504E+12,382,0.0005015183402106115,0.020961369622475856,0.018667839515222596
1062,6.25159E+12,380,0.0004988925897383045,0.031191003857834687,0.10704225352112676
3.76025E+12,6.25107E+12,377,0.0004949539640298443,0.03474654377880184,0.011840824146487013
4.00993E+12,6.2911E+12,376,0.0004936410887936909,0.0313124583610926,0.011288579320283416
1067,9.504E+12,375,0.0004923282135575374,0.07218479307025986,0.018325758686409618
1073,8.69958E+12,373,0.0004897024630852306,0.13133802816901408,0.054144287995354916
5.01262E+12,A00096,372,0.0004883895878490771,0.03488045007032349,0.04510184287099903
5.31009E+12,6.2911E+12,365,0.0004791994611960031,0.039374325782092774,0.010958328329530443
3.58291E+12,4.26012E+12,363,0.0004765737107236962,0.016626208033710437,0.026734423331860362
3.58291E+12,8.9013E+12,363,0.0004765737107236962,0.016626208033710437,0.046652101272330035
3.59445E+12,5.00046E+12,362,0.0004752608354875428,0.12422786547700755,0.05675760426465977
4.26012E+12,8.47E+12,360,0.0004726350850152359,0.026513477684489615,0.09027081243731194
7.32184E+12,7.64015E+12,355,0.00046607070883446873,0.03275209890211274,0.024141448486909214
1065,1067,354,0.0004647578335983153,0.05106014712245781,0.06814244465832531
5121,A00096,352,0.00046213208312600844,0.15963718820861678,0.04267701260911736
3.58291E+12,3.76025E+12,349,0.00045819345741754814,0.015984976869875878,0.03216589861751152
1.99001E+11,8.43604E+12,348,0.00045688058218139473,0.05454545454545454,0.0885270923429153
4.26012E+12,6.25334E+12,347,0.00045556770694524126,0.025556046545883046,0.1131767775603392
6.2911E+12,8.9013E+12,346,0.00045425483170908785,0.010387894800048036,0.04446729212183524
1063,6.25106E+12,345,0.00045294195647293444,0.01919439189941026,0.0722059439095856
4.26012E+12,8.90415E+12,344,0.00045162908123678097,0.0253351008985123,0.29732065687121867
6.25107E+12,8.6802E+12,342,0.00044900333076447414,0.010741543390181853,0.04753300903405142
5.06001E+12,9.504E+12,341,0.0004476904555283207,0.028419034919576633,0.016664223232175146
6.25107E+12,7.32184E+12,337,0.00044243895458370697,0.010584503282138258,0.031091429098625334
5.06001E+12,6.25111E+12,337,0.00044243895458370697,0.028085673806150513,0.022510186360296572
1062,9.40309E+12,336,0.0004411260793475535,0.02757941393745383,0.11320754716981132
6.25188E+12,8.90111E+12,332,0.0004358745784029398,0.013652999958876507,0.020603202184435895
5385,A00096,332,0.0004358745784029398,0.12305411415863603,0.040252182347235696
8.90111E+12,9.504E+12,331,0.0004345617031667864,0.020541144346530968,0.01617553633387089
4.03157E+12,6.25188E+12,329,0.0004319359526944795,0.031799729364005415,0.013529629477320393
6.25111E+12,6.25116E+12,327,0.0004293102022221726,0.021842228308062255,0.017943371378402108
6.25107E+12,6.2516E+12,327,0.0004293102022221726,0.01027042306605107,0.03045259824920842
3.58291E+12,5385,326,0.0004279973269860192,0.014931525672147667,0.12083024462564863
1069,3.76025E+12,326,0.0004279973269860192,0.015018888786510642,0.030046082949308755
6.21087E+12,8.69972E+12,325,0.00042668445174986574,0.21724598930481284,0.08703802892340654
6.25111E+12,7.64015E+12,322,0.00042274582604140545,0.021508249281945092,0.02189731383883033
6.2911E+12,8.6802E+12,321,0.00042143295080525204,0.009637324366518554,0.04461431549687283
6.25116E+12,8.69957E+12,321,0.00042143295080525204,0.017614135206321335,0.01970292167935183
5.06001E+12,6.25107E+12,316,0.00041486857462448486,0.02633552796066339,0.009924934828355162
3.58291E+12,3.59654E+12,316,0.00041486857462448486,0.014473503412265836,0.06685001057753331
6.25111E+12,A00096,315,0.00041355569938833145,0.02104067864538107,0.03819107662463628
1069,8.43702E+12,315,0.00041355569938833145,0.014512116465493411,0.10821023703194778
6.2516E+12,7.64015E+12,314,0.000412242824152178,0.029241944496181786,0.021353281196871812
3.80023E+12,7.64015E+12,313,0.00041092994891602457,0.21263586956521738,0.021285277116626998
1062,9.504E+12,312,0.0004096170736798711,0.02560945579906427,0.015247031227092802
3.76025E+12,6.25188E+12,312,0.0004096170736798711,0.028755760368663594,0.012830530081835753
1062,8.69972E+12,309,0.0004056784479714108,0.025363211031765576,0.08275307980717729
5.70219E+12,6.25107E+12,307,0.000403052697499104,0.06497354497354497,0.009642262633876693
1062,8.43657E+12,306,0.0004017398222629505,0.02511696626446688,0.2463768115942029
5.01262E+12,6.2911E+12,305,0.0004004269470267971,0.028598218471636194,0.009156959289059685
1062,1073,304,0.0003991140717906437,0.02495280308626775,0.10704225352112676
4.26012E+12,6.25106E+12,303,0.0003978011965544902,0.022315510384445427,0.06341565508580996
5.01262E+12,6.25107E+12,303,0.0003978011965544902,0.02841068917018284,0.009516630547441817
4.02268E+12,6.25107E+12,302,0.0003964883213183368,0.03439635535307517,0.009485222525833097
1069,4.823E+12,301,0.00039517544608218334,0.013867133511471482,0.034661446338093045
4.00993E+12,6.25188E+12,301,0.00039517544608218334,0.02506662225183211,0.012378171649463338
